metabolite,source_cell,sink_cell,exchange_axis,mean_hypertension_yes,mean_hypertension_no,log2fc,p_value,significant
dgsn,Fib,Plasma_Cells,Fib→Plasma_Cells,0.007938672654774506,40.83481368496868,-12.328432532447097,0.5157234585024593,False
ocdca,Mono,Mac,Mono→Mac,0.39413987170036385,5.524500526988011,-3.8090610294940013,0.5157234585024593,False
34dhoxpeg,C_TAL,PC,C_TAL→PC,3.232521335801496,0.0,21.624228908002774,0.5230243688659271,False
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,3.4651246421631217,0.0,21.724476233386348,0.5230243688659271,False
meoh,C_TAL,Fib,C_TAL→Fib,0.18741982055123782,0.0,17.515921705115424,0.5230243688659271,False
his_L,C_TAL,PT_S3,C_TAL→PT_S3,0.2862377415357024,0.0,18.126859424065486,0.5230243688659271,False
h2s,MyoFib,C_TAL,MyoFib→C_TAL,3.555066813923205,0.0,21.761445649246948,0.5230243688659271,False
glnasngln,VSMC/Pericyte,IC,VSMC/Pericyte→IC,1.4885900116427273,0.0,20.505515999184755,0.5230243688659271,False
4hpro_LT,Endo_G,Fib,Endo_G→Fib,6.932523998885264,0.0,22.724949482998273,0.5230243688659271,False
chol,C_TAL,iPT,C_TAL→iPT,9.877231071993986,2.4898556278202606,1.9880441367578436,0.5316069168931149,False
4nph,Plasma_Cells,Mac,Plasma_Cells→Mac,6237.7662418571135,3902.686760495076,0.6765618160139495,0.5316069168931149,False
npphos,Mac,Plasma_Cells,Mac→Plasma_Cells,6237.7662418571135,3902.686760495076,0.6765618160139495,0.5316069168931149,False
5dhf,PT_S1,PT_S3,PT_S1→PT_S3,4737.570648028453,1685.7296070482346,1.4907743118729095,0.5316069168931149,False
cmp,MyoFib,Fib,MyoFib→Fib,1444.6251509310734,573.9438850216947,1.3317135961270345,0.5316069168931149,False
ura,C_TAL,PC,C_TAL→PC,1657.5145218916266,2197.658520469651,-0.40694572250883093,0.554945054945055,False
akg,PT_S1,PT_S3,PT_S1→PT_S3,1184.622705331614,1234.0239227616178,-0.05894271952282664,0.554945054945055,False
mag_hs,Fib,CD4T,Fib→CD4T,1554.2589254107925,2560.4058496807775,-0.7201456457877119,0.554945054945055,False
dgmp,C_TAL,GS_Stromal,C_TAL→GS_Stromal,24666.16337208331,24222.606493013867,0.026179217465077075,0.554945054945055,False
ppi,C_TAL,GS_Stromal,C_TAL→GS_Stromal,24666.16337208331,24222.606493013867,0.026179217465077075,0.554945054945055,False
gua,Endo_G,Podo,Endo_G→Podo,537.2999676451117,231.16742108650178,1.2167896575120407,0.554945054945055,False
ins,VSMC/Pericyte,C_TAL,VSMC/Pericyte→C_TAL,2281.6477491274504,1269.225357445684,0.8461278288742878,0.554945054945055,False
dgtp,GS_Stromal,C_TAL,GS_Stromal→C_TAL,24666.1633720833,24222.606493013867,0.02617921746507676,0.554945054945055,False
15kprostgf2,C_TAL,PT_S3,C_TAL→PT_S3,2410.764073405448,192.85583617320546,3.6438957529586027,0.6179186012322198,False
6dhf,CNT,PT_S3,CNT→PT_S3,2328.037049084913,1560.5392640291482,0.5770693608915999,0.632851915589562,False
gmp,MyoFib,PT_S3,MyoFib→PT_S3,504.19215526065994,1951.5945380958503,-1.9526077720541484,0.6366994561102653,False
dopa,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,4811.596241062,9103.782319181848,-0.9199504759042957,0.6366994561102653,False
