metabolite,source,sink,exchange_axis,mean_raw_DKD,mean_raw_Control,mean_rank_DKD,mean_rank_Control,detected_DKD,detected_Control,rate_DKD,rate_Control,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_DKD,signature_Control,effect_size_label
orn,iPT,C_TAL,iPT→C_TAL,144.35,128.19,0.3115,0.4184,2,2,0.333,0.667,0.171,1.0,0.5238095238095238,0.333,0.0,-0.786,1.0,1.0,0.317,False,False,False,False,False,True,medium
2hb,M_TAL,C_TAL,M_TAL→C_TAL,668.29,1199.37,0.6356,0.5345,6,2,1.0,0.667,-0.844,0.867,0.3333333333333333,7.8,0.167,0.501,1.0,1.0,0.316,False,False,False,False,False,False,medium
uri,C_TAL,PC,C_TAL→PC,4039.53,3840.11,0.6046,0.7149,5,3,0.833,1.0,0.073,0.4586,1.0,0.524,0.4,-0.68,1.0,1.0,0.314,False,False,False,False,False,False,medium
sphs1p,C_TAL,PT_S3,C_TAL→PT_S3,73.7,99.28,0.442,0.531,5,3,0.833,1.0,-0.43,0.5698,1.0,0.524,0.333,-0.802,1.0,1.0,0.311,False,False,False,False,False,False,large
ins,VSMC/Pericyte,C_TAL,VSMC/Pericyte→C_TAL,11038.38,838.87,0.6609,0.6161,5,3,0.833,1.0,3.718,0.2456,1.0,0.524,-0.6,0.241,1.0,1.0,0.299,False,False,False,False,False,False,small
atp,C_TAL,PT_S3,C_TAL→PT_S3,576.12,0.0,0.3937,0.2299,2,0,0.333,0.0,29.102,0.8994,0.5000000000000001,3.889,-0.111,0.622,1.0,1.0,0.297,False,False,False,False,False,False,medium
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,10.59,0.0,0.35,0.2299,2,0,0.333,0.0,23.337,0.9098,0.5000000000000001,3.889,-0.111,0.614,1.0,1.0,0.293,False,False,False,False,False,False,medium
his_L,C_TAL,PT_S3,C_TAL→PT_S3,3.2,0.0,0.327,0.2299,2,0,0.333,0.0,21.608,0.9052,0.5000000000000001,3.889,-0.111,0.583,1.0,1.0,0.286,False,False,False,False,False,False,medium
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,168.04,205.74,0.5126,0.577,6,3,1.0,1.0,-0.292,0.5498,1.0,1.857,0.333,-0.775,1.0,1.0,0.285,False,False,False,False,False,False,medium
dgtp,GS_Stromal,C_TAL,GS_Stromal→C_TAL,219038.21,204816.98,0.8264,0.9816,5,3,0.833,1.0,0.097,0.503,1.0,0.524,0.333,-0.613,1.0,1.0,0.283,False,False,False,False,False,False,medium
34dhoxpeg,C_TAL,PC,C_TAL→PC,6.22,0.0,0.3293,0.2299,2,0,0.333,0.0,22.569,0.902,0.5000000000000001,3.889,-0.111,0.57,1.0,1.0,0.283,False,False,False,False,False,False,medium
ser_D,C_TAL,iPT,C_TAL→iPT,2.38,0.0,0.319,0.2299,2,0,0.333,0.0,21.18,0.9022,0.5000000000000001,3.889,-0.111,0.566,1.0,1.0,0.282,False,False,False,False,False,False,medium
dgmp,C_TAL,GS_Stromal,C_TAL→GS_Stromal,219038.21,204816.98,0.8282,0.9816,5,3,0.833,1.0,0.097,0.5048,1.0,0.524,0.333,-0.605,1.0,1.0,0.28,False,False,False,False,False,False,medium
aspmetasp,PT_S3,Endo_Peritubular,PT_S3→Endo_Peritubular,0.54,2.42,0.2489,0.3345,1,1,0.167,0.333,-2.168,0.545,1.0,0.455,0.333,-0.648,1.0,1.0,0.279,False,False,False,False,False,False,medium
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,65.76,43.79,0.4897,0.5264,6,3,1.0,1.0,0.587,0.3724,1.0,1.857,0.444,-0.504,1.0,1.0,0.276,False,False,False,False,False,False,medium
meoh,C_TAL,Fib,C_TAL→Fib,0.34,0.0,0.2971,0.2299,2,0,0.333,0.0,18.39,0.91,0.5000000000000001,3.889,-0.111,0.525,1.0,1.0,0.271,False,False,False,False,False,False,medium
h2s,MyoFib,C_TAL,MyoFib→C_TAL,10.61,0.0,0.3316,0.2299,2,0,0.333,0.0,23.339,1.0,0.5000000000000001,3.889,0.0,0.569,1.0,1.0,0.267,False,False,False,False,False,False,medium
inost,C_TAL,PT_S3,C_TAL→PT_S3,11.44,10.24,0.4132,0.4897,5,3,0.833,1.0,0.16,0.647,1.0,0.524,0.267,-0.698,1.0,1.0,0.266,False,False,False,False,False,False,medium
dopa,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,39627.65,35540.51,0.6443,0.4632,4,1,0.667,0.333,0.157,1.0,0.5238095238095237,3.0,0.0,0.542,1.0,1.0,0.256,False,False,False,False,True,False,medium
5dhf,PT_S1,PT_S3,PT_S1→PT_S3,14772.53,23413.63,0.5787,0.6379,4,2,0.667,0.667,-0.664,0.2706,1.0,1.08,0.75,-0.201,1.0,1.0,0.249,False,False,False,False,False,False,small
mag_hs,Fib,CD4T,Fib→CD4T,4975.57,7599.16,0.7069,0.7793,6,3,1.0,1.0,-0.611,0.5532,1.0,1.857,0.333,-0.584,1.0,1.0,0.236,False,False,False,False,False,False,medium
met_L,C_TAL,PT_S3,C_TAL→PT_S3,13.33,8.48,0.4253,0.346,4,1,0.667,0.333,0.652,0.9046,0.5238095238095237,3.0,-0.111,0.388,1.0,1.0,0.233,False,False,False,False,True,False,small
glc_D,PEC,Mes,PEC→Mes,51173.64,46732.86,0.9011,0.892,6,3,1.0,1.0,0.131,0.6304,1.0,1.857,-0.278,0.644,1.0,1.0,0.231,False,False,False,False,False,False,medium
