metabolite,source,sink,exchange_axis,mean_raw_DKD,mean_raw_Control,mean_rank_DKD,mean_rank_Control,detected_DKD,detected_Control,rate_DKD,rate_Control,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_DKD,signature_Control,effect_size_label
duri,VSMC/Pericyte,Dedifferentiated_Tubule,VSMC/Pericyte→Dedifferentiated_Tubule,0.07,0.0,0.2397,0.2299,1,0,0.167,0.0,16.179,1.0,1.0,1.909,0.0,0.216,1.0,1.0,0.079,False,False,False,False,False,False,small
glyc,PT_S2,PT_S1,PT_S2→PT_S1,86976.32,100194.87,0.8747,0.908,6,3,1.0,1.0,-0.204,1.0,1.0,1.857,0.0,-0.288,1.0,1.0,0.072,False,False,False,False,False,False,small
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,0.04,0.05,0.2948,0.3138,2,1,0.333,0.333,-0.256,0.7716,1.0,0.926,0.167,-0.125,1.0,1.0,0.071,False,False,False,False,False,False,negligible
pi,PT_S3,C_TAL,PT_S3→C_TAL,15111.11,13800.96,0.8218,0.8161,6,3,1.0,1.0,0.131,0.7678,1.0,1.857,0.167,0.106,1.0,1.0,0.067,False,False,False,False,False,False,negligible
glu_L,Endo_G,Podo,Endo_G→Podo,86724.12,111163.41,0.9506,0.9471,6,3,1.0,1.0,-0.358,0.8492,1.0,1.857,0.111,0.163,1.0,1.0,0.066,False,False,False,False,False,False,negligible
dag_hs,C_TAL,PT_S3,C_TAL→PT_S3,10802.37,4996.41,0.7954,0.7747,6,3,1.0,1.0,1.112,0.8988,1.0,1.857,-0.111,0.171,1.0,1.0,0.059,False,False,False,False,False,False,negligible
ala_L,PT_S1,PT_S2,PT_S1→PT_S2,33732.13,32553.39,0.8598,0.869,6,3,1.0,1.0,0.051,0.9234,1.0,1.857,-0.056,-0.186,1.0,1.0,0.059,False,False,False,False,False,False,negligible
malt,PT_S1,CNT,PT_S1→CNT,2495.17,810.67,0.3678,0.3644,2,1,0.333,0.333,1.622,0.7136,1.0,0.926,0.222,0.017,1.0,1.0,0.056,False,False,False,False,False,False,negligible
aspglu,Plasma_Cells,Fib,Plasma_Cells→Fib,7228.86,1522.95,0.6954,0.6644,6,3,1.0,1.0,2.247,1.0,1.0,1.857,0.0,0.218,1.0,1.0,0.054,False,False,False,False,False,False,small
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,26.59,42.96,0.4247,0.4701,4,2,0.667,0.667,-0.692,1.0,1.0,1.08,0.0,-0.21,1.0,1.0,0.052,False,False,False,False,False,False,small
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,4826.65,4004.9,0.7253,0.7356,6,3,1.0,1.0,0.269,0.9628,1.0,1.857,0.056,-0.185,1.0,1.0,0.052,False,False,False,False,False,False,negligible
cgly,PT_S2,PT_S1,PT_S2→PT_S1,1451.64,1271.13,0.6402,0.6529,6,3,1.0,1.0,0.192,1.0,1.0,1.857,0.0,-0.198,1.0,1.0,0.05,False,False,False,False,False,False,negligible
pyr,PT_S1,PT_S2,PT_S1→PT_S2,140769.89,131754.07,0.9575,0.9563,6,3,1.0,1.0,0.095,0.7582,1.0,1.857,0.167,0.033,1.0,1.0,0.05,False,False,False,False,False,False,negligible
udp,PC,C_TAL,PC→C_TAL,16147.55,10227.21,0.5937,0.5782,4,2,0.667,0.667,0.659,0.7954,1.0,1.08,-0.25,0.052,1.0,1.0,0.048,False,False,False,False,False,False,negligible
thymd,C_TAL,PT_S3,C_TAL→PT_S3,55.97,10.5,0.5299,0.5034,6,3,1.0,1.0,2.415,1.0,1.0,1.857,0.0,0.168,1.0,1.0,0.042,False,False,False,False,False,False,negligible
ump,Endo_G,Fib,Endo_G→Fib,7565.6,4301.81,0.5471,0.554,4,2,0.667,0.667,0.815,0.7968,1.0,1.08,0.25,-0.028,1.0,1.0,0.042,False,False,False,False,False,False,negligible
prostgf2,GS_Stromal,C_TAL,GS_Stromal→C_TAL,22704.61,404.57,0.5236,0.4885,4,2,0.667,0.667,5.81,1.0,1.0,1.08,0.0,0.132,1.0,1.0,0.033,False,False,False,False,False,False,negligible
gluglu,PT_S1,PT_S2,PT_S1→PT_S2,14133.13,12211.14,0.8172,0.8115,6,3,1.0,1.0,0.211,0.907,1.0,1.857,-0.111,0.067,1.0,1.0,0.032,False,False,False,False,False,False,negligible
acac,Podo,Endo_G,Podo→Endo_G,4168.81,3448.94,0.723,0.7172,6,3,1.0,1.0,0.273,0.9626,1.0,1.857,-0.056,0.092,1.0,1.0,0.029,False,False,False,False,False,False,negligible
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,38.22,13.82,0.5115,0.5011,6,3,1.0,1.0,1.468,1.0,1.0,1.857,0.0,0.078,1.0,1.0,0.02,False,False,False,False,False,False,negligible
5thf,C_TAL,iPT,C_TAL→iPT,14061.36,15256.94,0.6052,0.6103,4,2,0.667,0.667,-0.118,0.9314,1.0,1.08,-0.125,-0.017,1.0,1.0,0.015,False,False,False,False,False,False,negligible
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,18.81,24.57,0.3626,0.3552,2,1,0.333,0.333,-0.385,1.0,1.0,0.926,0.0,0.03,1.0,1.0,0.008,False,False,False,False,False,False,negligible
