metabolite,source_cell,sink_cell,exchange_axis,rho,p_value,significant
3mob,Mono,Mac,Mono→Mac,0.034401045807689073,0.9070587112630835,False
ump,Endo_G,Fib,Endo_G→Fib,0.03311290550674552,0.9105259221926808,False
6thf,Fib,PT_S1,Fib→PT_S1,0.029220862151778954,0.9210106673241529,False
adn,PC,C_TAL,PC→C_TAL,-0.02857142857142857,0.9227613765698746,False
2hb,M_TAL,C_TAL,M_TAL→C_TAL,0.02857142857142857,0.9227613765698746,False
lpchol_hs,PT_S1,PT_S3,PT_S1→PT_S3,0.02477637765556052,0.932998141646989,False
gmp,MyoFib,PT_S3,MyoFib→PT_S3,-0.015556515863952652,0.9579050060103673,False
gluala,PT_S3,IC,PT_S3→IC,0.013334156454816557,0.9639147159277293,False
ade,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,0.002197802197802198,0.9940505286658998,False
10fthf6glu,Fib,MyoFib,Fib→MyoFib,0.0,1.0,False
