metabolite,source,sink,exchange_axis,mean_raw_HKD,mean_raw_Control,mean_rank_HKD,mean_rank_Control,detected_HKD,detected_Control,rate_HKD,rate_Control,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_HKD,signature_Control,effect_size_label
lpchol_hs,PT_S1,PT_S3,PT_S1→PT_S3,0.0,322.16,0.1779,0.4943,0,2,0.0,0.667,-28.263,0.03,0.10714285714285714,0.055,1.0,-2.365,0.4984,1.0,1.467,True,False,True,False,False,True,large
gmp,MyoFib,PT_S3,MyoFib→PT_S3,2778.52,520.64,0.6317,0.3575,5,1,1.0,0.333,2.416,0.0344,0.10714285714285714,18.333,-1.0,2.433,0.4984,1.0,1.463,True,False,True,False,True,False,large
ttdca,Mono,CD4T,Mono→CD4T,254.27,82.31,0.4841,0.3184,5,1,1.0,0.333,1.627,0.055,0.10714285714285714,18.333,-0.933,2.361,0.4984,1.0,1.374,False,False,False,False,True,False,large
6thf,Fib,PT_S1,Fib→PT_S1,7399.87,4600.23,0.6938,0.4103,5,1,1.0,0.333,0.686,0.1552,0.10714285714285714,18.333,-0.667,1.605,0.5115,1.0,1.027,False,False,False,False,True,False,large
dag_hs,C_TAL,PT_S3,C_TAL→PT_S3,2211.79,4996.41,0.6152,0.7747,5,3,1.0,1.0,-1.176,0.0632,1.0,1.571,0.867,-2.158,0.4984,1.0,0.959,False,False,False,False,False,False,large
6dhf,CNT,PT_S3,CNT→PT_S3,15836.94,10597.5,0.749,0.4333,5,1,1.0,0.333,0.58,0.3258,0.10714285714285714,18.333,-0.467,1.712,0.6674,1.0,0.941,False,False,False,False,True,False,large
thf,C_TAL,MyoFib,C_TAL→MyoFib,5695.53,1534.16,0.6138,0.3828,5,1,1.0,0.333,1.892,0.2846,0.10714285714285714,18.333,-0.533,1.401,0.6448,1.0,0.884,False,False,False,False,True,False,large
orot,C_TAL,CD4T,C_TAL→CD4T,476.46,580.78,0.5214,0.6092,5,3,1.0,1.0,-0.286,0.0344,1.0,1.571,1.0,-1.477,0.4984,1.0,0.881,True,False,True,False,False,False,large
5mthf,MyoFib,Fib,MyoFib→Fib,5.77,0.0,0.3407,0.2299,4,0,0.8,0.0,22.46,0.2208,0.14285714285714288,21.0,-0.6,1.246,0.5996,1.0,0.872,False,False,False,False,True,False,large
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,301.91,752.66,0.4966,0.6437,5,3,1.0,1.0,-1.318,0.0696,1.0,1.571,0.867,-1.865,0.4984,1.0,0.871,False,False,False,False,False,False,large
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,0.0,0.05,0.1779,0.3138,0,1,0.0,0.333,-15.64,0.1392,0.375,0.152,0.733,-1.434,0.4984,1.0,0.815,False,False,False,False,False,False,large
tyrglu,PC,GS_Stromal,PC→GS_Stromal,0.0,1.41,0.1779,0.3276,0,1,0.0,0.333,-20.423,0.1388,0.375,0.152,0.733,-1.385,0.4984,1.0,0.803,False,False,False,False,False,False,large
dtdp,Fib,C_TAL,Fib→C_TAL,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1358,1.0,0.636,0.733,-1.996,0.4984,1.0,0.802,False,False,False,False,False,False,large
aspglupro,DCT,C_TAL,DCT→C_TAL,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.138,1.0,0.636,0.733,-1.996,0.4984,1.0,0.8,False,False,False,False,False,False,large
asplysglu,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1388,1.0,0.636,0.733,-1.996,0.4984,1.0,0.799,False,False,False,False,False,False,large
alaarggly,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1392,1.0,0.636,0.733,-1.996,0.4984,1.0,0.799,False,False,False,False,False,False,large
3mob,Mono,Mac,Mono→Mac,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.14,1.0,0.636,0.733,-1.996,0.4984,1.0,0.798,False,False,False,False,False,False,large
lac_D,PT_S1,PT_S3,PT_S1→PT_S3,451019.34,115844.93,0.9959,0.7207,5,2,1.0,0.667,1.961,0.0976,0.375,6.6,-0.8,1.152,0.4984,1.0,0.798,False,False,False,False,False,False,large
hisglnala,C_TAL,IC,C_TAL→IC,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1408,1.0,0.636,0.733,-1.996,0.4984,1.0,0.797,False,False,False,False,False,False,large
fmn,Mac,Plasma_Cells,Mac→Plasma_Cells,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1424,1.0,0.636,0.733,-1.996,0.4984,1.0,0.795,False,False,False,False,False,False,large
dttp,C_TAL,Fib,C_TAL→Fib,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1422,1.0,0.636,0.733,-1.996,0.4984,1.0,0.795,False,False,False,False,False,False,large
