metabolite,source_cell,sink_cell,exchange_axis,mean_Male,mean_Female,log2fc_M_vs_F,p_value,significant
dag_hs,C_TAL,PT_S3,C_TAL→PT_S3,1941.9434332006936,2103.9629712288884,-0.11560813687574885,0.8518148518148518,False
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,113.28369679825946,90.64249700491449,0.3216807377836661,0.8518148518148518,False
akg,PT_S1,PT_S3,PT_S1→PT_S3,1208.042610631404,1178.0967736468956,0.036213290071636046,0.8518148518148518,False
hco3,Endo_G,Podo,Endo_G→Podo,2002.667126360848,1987.8533327269142,0.010711327003517018,0.8518148518148518,False
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,20.719924980268033,70.65385281553955,-1.769749405369467,0.8518148518148518,False
malt,PT_S1,CNT,PT_S1→CNT,1114.0224608417911,231.35071090180227,2.2676248783635318,0.8863143419756068,False
pro_L,Fib,MyoFib,Fib→MyoFib,505.6501035352759,309.175507928114,0.7097133843553143,0.8863143419756068,False
aspmetasp,PT_S3,Endo_Peritubular,PT_S3→Endo_Peritubular,0.34544101515896836,0.4796203436092677,-0.4734522969370415,0.9284313894732765,False
ser_D,C_TAL,iPT,C_TAL→iPT,3042.296223569126,16.66640342549123,7.512073929138781,0.935558126720456,False
6thf,Fib,PT_S1,Fib→PT_S1,831.2730189074284,1095.913434697986,-0.39873955402909417,0.9473643315845512,False
5thf,C_TAL,iPT,C_TAL→iPT,1551.9578802303427,1706.6860977202432,-0.1371083313075632,0.9483051017322014,False
bhb,PT_S3,VSMC/Pericyte,PT_S3→VSMC/Pericyte,258.89343576490006,400.22113705367366,-0.6284389747577498,0.9483051017322014,False
lac_L,Podo,Endo_G,Podo→Endo_G,6053.011421634592,6066.174685326238,-0.0031339699790057978,0.9497169497169498,False
2hb,M_TAL,C_TAL,M_TAL→C_TAL,505.0862436918026,204.33857062922843,1.3055681948516473,0.9497169497169498,False
lcts6p,PC,C_TAL,PC→C_TAL,636.4948347046827,367.4770631638364,0.7924946007447736,0.9497169497169498,False
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,11.696186073333049,7.10046164456202,0.7200533571932716,0.9497169497169498,False
ade,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,287.0965116103232,159.09244479610007,0.851670472442647,0.9497169497169498,False
orot,C_TAL,CD4T,C_TAL→CD4T,24.991994683607736,24.515442808335155,0.02777523014563363,0.9497169497169498,False
gua,Endo_G,Podo,Endo_G→Podo,473.4037455222537,469.42865719628384,0.012165203840538681,0.9497169497169498,False
gdp,PC,C_TAL,PC→C_TAL,7063.575001919109,9124.585111159155,-0.3693604197817821,0.9497169497169498,False
lcts,C_TAL,PC,C_TAL→PC,903.7995015033944,2792.618155686223,-1.6275436549599387,0.9497169497169498,False
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,3.9205461398408734,4.651566592598322,-0.24666198423457195,1.0,False
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,5.693892609069872,4.400838695519681,0.3716367151953771,1.0,False
gluglu,PT_S1,PT_S2,PT_S1→PT_S2,666.957058656918,655.9678906714404,0.023968680621279072,1.0,False
mag_hs,Fib,CD4T,Fib→CD4T,1128.270570518482,2625.316860735532,-1.2183784757368177,1.0,False
ump,Endo_G,Fib,Endo_G→Fib,2251.3941941401763,2458.5831956768784,-0.12700849629955632,1.0,False
gluala,PT_S3,IC,PT_S3→IC,1191.2189010731456,517.6829100702085,1.2022979515412755,1.0,False
cdp,C_TAL,iPT,C_TAL→iPT,6550.19628399222,7972.4714137871415,-0.28348888022265,1.0,False
fru,Fib,CD4T,Fib→CD4T,6462.78315661685,3038.0438176681287,1.08901290799822,1.0,False
34dhoxpeg,C_TAL,PC,C_TAL→PC,4.202976606166289,0.32232030741435735,3.7048403020555742,1.0,False
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,2.49439895110562,3.0268632424915634,-0.27913116561302775,1.0,False
asp_L,IC,PC,IC→PC,253.74315133533952,263.1931294524345,-0.052752944699261194,1.0,False
