exchange_axis,source,sink,n_metabolites,n_significant,pct_significant,combined_p,mean_cohens_d,mean_evidence,direction,direction_label,metabolites,metabolite_detail,combined_q
MyoFib→Fib,MyoFib,Fib,2,0,0.0,0.739125,0.328,0.233,UP,↑ Diseased,5mthf; cmp,"5mthf(d=+0.45,rDiseased=36%,rControl=0%); cmp(d=+0.20,rDiseased=82%,rControl=67%)",0.9578
PEC→IC,PEC,IC,1,0,0.0,0.7458,0.29,0.117,UP,↑ Diseased,glucyala,"glucyala(d=+0.29,rDiseased=100%,rControl=100%)",0.9578
Plasma_Cells→CD4T,Plasma_Cells,CD4T,1,0,0.0,0.7684,0.614,0.225,UP,↑ Diseased,ahdt,"ahdt(d=+0.61,rDiseased=55%,rControl=33%)",0.9578
Mes→VSMC/Pericyte,Mes,VSMC/Pericyte,2,0,0.0,0.773272,-0.25,0.138,DOWN,↑ Control,ade; thym,"ade(d=-0.14,rDiseased=91%,rControl=100%); thym(d=-0.36,rDiseased=100%,rControl=100%)",0.9578
PC→C_TAL,PC,C_TAL,6,0,0.0,0.794794,0.054,0.264,UP,↑ Diseased,Rtotal; adn; dhdascb; fe2; gdp; udp,"fe2(d=+0.65,rDiseased=91%,rControl=67%); dhdascb(d=+0.55,rDiseased=91%,rControl=67%); adn(d=+0.24,rDiseased=100%,rControl=100%); udp(d=+0.04,rDiseased=82%,rControl=67%); gdp(d=-0.51,rDiseased=91%,rControl=100%); Rtotal(d=-0.66,rDiseased=91%,rControl=100%)",0.9578
Mono→Mac,Mono,Mac,2,0,0.0,0.799795,0.125,0.135,UP,↑ Diseased,3mob; ocdca,"ocdca(d=+0.30,rDiseased=27%,rControl=0%); 3mob(d=-0.06,rDiseased=9%,rControl=0%)",0.9578
PT_S1→CNT,PT_S1,CNT,2,0,0.0,0.815403,-0.05,0.129,DOWN,↑ Control,gsn; malt,"malt(d=+0.16,rDiseased=46%,rControl=33%); gsn(d=-0.26,rDiseased=91%,rControl=100%)",0.9578
Fib→MyoFib,Fib,MyoFib,2,0,0.0,0.815577,0.801,0.516,UP,↑ Diseased,10fthf6glu; pro_L,"pro_L(d=+1.00,rDiseased=55%,rControl=0%); 10fthf6glu(d=+0.60,rDiseased=82%,rControl=33%)",0.9578
Plasma_Cells→Fib,Plasma_Cells,Fib,1,0,0.0,0.8484,0.201,0.075,UP,↑ Diseased,aspglu,"aspglu(d=+0.20,rDiseased=100%,rControl=100%)",0.9578
iPT→C_TAL,iPT,C_TAL,3,0,0.0,0.864865,-0.232,0.229,DOWN,↑ Control,ala_D; orn; succ,"succ(d=+0.52,rDiseased=100%,rControl=100%); orn(d=-0.43,rDiseased=46%,rControl=67%); ala_D(d=-0.79,rDiseased=82%,rControl=100%)",0.9578
CD4T→Mes,CD4T,Mes,1,0,0.0,0.8708,-0.317,0.119,DOWN,↑ Control,tag_hs,"tag_hs(d=-0.32,rDiseased=46%,rControl=33%)",0.9578
Endo_G→Fib,Endo_G,Fib,2,0,0.0,0.874581,0.195,0.12,UP,↑ Diseased,4hpro_LT; ump,"ump(d=+0.29,rDiseased=82%,rControl=67%); 4hpro_LT(d=+0.10,rDiseased=18%,rControl=0%)",0.9578
C_TAL→PC,C_TAL,PC,6,0,0.0,0.887146,0.094,0.325,UP,↑ Diseased,34dhoxpeg; ascb_L; fe3; gthrd; ura; uri,"gthrd(d=+0.70,rDiseased=46%,rControl=0%); fe3(d=+0.66,rDiseased=91%,rControl=67%); ascb_L(d=+0.54,rDiseased=91%,rControl=67%); 34dhoxpeg(d=+0.20,rDiseased=18%,rControl=0%); uri(d=-0.74,rDiseased=91%,rControl=100%); ura(d=-0.80,rDiseased=91%,rControl=100%)",0.9578
PT_S2→PT_S1,PT_S2,PT_S1,3,0,0.0,0.895435,-0.441,0.167,DOWN,↑ Control,cgly; glyc; tyr_L,"glyc(d=-0.04,rDiseased=100%,rControl=100%); cgly(d=-0.55,rDiseased=100%,rControl=100%); tyr_L(d=-0.73,rDiseased=100%,rControl=100%)",0.9578
Endo_G→Podo,Endo_G,Podo,5,0,0.0,0.901544,0.213,0.208,UP,↑ Diseased,cit; cyala; glu_L; gua; hco3,"cit(d=+1.21,rDiseased=100%,rControl=100%); glu_L(d=+0.36,rDiseased=100%,rControl=100%); hco3(d=+0.28,rDiseased=100%,rControl=100%); cyala(d=-0.34,rDiseased=100%,rControl=100%); gua(d=-0.44,rDiseased=91%,rControl=100%)",0.9578
PT_S1→PT_S2,PT_S1,PT_S2,4,0,0.0,0.914255,-0.029,0.116,DOWN,↑ Control,ala_L; gluglu; pyr; ser_L,"pyr(d=+0.31,rDiseased=100%,rControl=100%); ala_L(d=+0.06,rDiseased=100%,rControl=100%); gluglu(d=-0.03,rDiseased=100%,rControl=100%); ser_L(d=-0.46,rDiseased=100%,rControl=100%)",0.9578
CNT→PT_S3,CNT,PT_S3,1,0,0.0,0.9738,0.609,0.289,UP,↑ Diseased,6dhf,"6dhf(d=+0.61,rDiseased=73%,rControl=33%)",1.0
C_TAL→iPT,C_TAL,iPT,5,0,0.0,0.990288,0.315,0.159,UP,↑ Diseased,5thf; cdp; chol; ptrc; ser_D,"ser_D(d=+0.53,rDiseased=36%,rControl=0%); 5thf(d=+0.35,rDiseased=82%,rControl=67%); chol(d=+0.32,rDiseased=82%,rControl=67%); cdp(d=+0.31,rDiseased=82%,rControl=67%); ptrc(d=+0.07,rDiseased=9%,rControl=0%)",1.0
PT_S3→IC,PT_S3,IC,1,0,0.0,1.0,0.122,0.039,UP,↑ Diseased,gluala,"gluala(d=+0.12,rDiseased=73%,rControl=67%)",1.0
