metabolite,source_cell,sink_cell,exchange_axis,predictor,beta,p_value,significant,r_squared
hco3,Endo_G,Podo,Endo_G→Podo,is_DKD,331.81156505319996,0.7354057381928591,False,0.47813958715142635
hco3,Endo_G,Podo,Endo_G→Podo,is_HKD,154.52535210721976,0.8611735035377392,False,0.47813958715142635
pi,PT_S3,C_TAL,PT_S3→C_TAL,eGFR,15.752741159622854,0.2922495002056172,False,0.5092133084770203
pi,PT_S3,C_TAL,PT_S3→C_TAL,fibrosis,-9.32271913928867,0.3036298040718416,False,0.5092133084770203
pi,PT_S3,C_TAL,PT_S3→C_TAL,age,-26.988515960457,0.11279406849582264,False,0.5092133084770203
pi,PT_S3,C_TAL,PT_S3→C_TAL,sex_num,314.11227832334714,0.3739951274601297,False,0.5092133084770203
pi,PT_S3,C_TAL,PT_S3→C_TAL,is_DKD,694.0563568948544,0.23277488716989794,False,0.5092133084770203
pi,PT_S3,C_TAL,PT_S3→C_TAL,is_HKD,803.7108347893759,0.13776519765718098,False,0.5092133084770203
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,eGFR,1.2298221679918482,0.5249135470577528,False,0.4862216858363221
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,fibrosis,-2.2854958025577483,0.07977539057641377,False,0.4862216858363221
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,age,-4.077326121355053,0.0782933826413617,False,0.4862216858363221
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,sex_num,-2.547003207435047,0.9554190721408449,False,0.4862216858363221
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,is_DKD,95.20615917700127,0.21955978118228905,False,0.4862216858363221
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,is_HKD,78.69028136645306,0.2568870278439181,False,0.4862216858363221
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,eGFR,-0.6348380080018234,0.35424147185513144,False,0.6157612964492174
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,fibrosis,0.24159943110931087,0.5537623167169061,False,0.6157612964492174
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,age,0.7055984149952622,0.33978954319705246,False,0.6157612964492174
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,sex_num,-8.902177617277571,0.5790516980592457,False,0.6157612964492174
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,is_DKD,-24.163486210507727,0.3583921868936883,False,0.6157612964492174
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,is_HKD,20.237928725956877,0.39215468138776444,False,0.6157612964492174
gly,Podo,Endo_G,Podo→Endo_G,eGFR,0.8153930564812661,0.3201978808234091,False,0.5409289160171333
gly,Podo,Endo_G,Podo→Endo_G,fibrosis,-0.6684288744352124,0.1918252713481537,False,0.5409289160171333
gly,Podo,Endo_G,Podo→Endo_G,age,-1.415555908497347,0.12811121876453588,False,0.5409289160171333
gly,Podo,Endo_G,Podo→Endo_G,sex_num,10.498101686555682,0.5827051639670857,False,0.5409289160171333
gly,Podo,Endo_G,Podo→Endo_G,is_DKD,49.78178185766323,0.13287398620212557,False,0.5409289160171333
gly,Podo,Endo_G,Podo→Endo_G,is_HKD,57.36703668555789,0.06658490318430559,False,0.5409289160171333
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,eGFR,-0.06499820017492149,0.9666011194336264,False,0.5322143019836907
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,fibrosis,-1.025349171777234,0.29670821763020183,False,0.5322143019836907
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,age,0.06984855383128075,0.9666572433425789,False,0.5322143019836907
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,sex_num,-79.18240899661221,0.06277450648190587,False,0.5322143019836907
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,is_DKD,-30.22389564611776,0.6156313665717683,False,0.5322143019836907
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,is_HKD,-55.656349675175925,0.3195446324755548,False,0.5322143019836907
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,eGFR,-0.2977379643712742,0.2256641417405172,False,0.40174582330611064
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,fibrosis,-0.04855021809906236,0.731732678177102,False,0.40174582330611064
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,age,0.3018629040761204,0.2510108318495268,False,0.40174582330611064
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,sex_num,-0.237643312381989,0.9658728698351801,False,0.40174582330611064
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,is_DKD,-11.511126371262947,0.22299373528418243,False,0.40174582330611064
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,is_HKD,-12.77342996426762,0.14427406860094932,False,0.40174582330611064
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,eGFR,-0.06882695450511275,0.584524616339481,False,0.549424213215443
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,fibrosis,0.1448001340629713,0.08742578994665413,False,0.549424213215443
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,age,0.11767569034735759,0.3929623578885879,False,0.549424213215443
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,sex_num,4.262219959490581,0.18141478789650037,False,0.549424213215443
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,is_DKD,-7.665837984143796,0.14055164153829902,False,0.549424213215443
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,is_HKD,-8.758390733854695,0.07356639156915976,False,0.549424213215443
asn_L,Podo,Endo_G,Podo→Endo_G,eGFR,1.7324096950798407,0.4067306700848132,False,0.39919935712611665
asn_L,Podo,Endo_G,Podo→Endo_G,fibrosis,-0.26867696955930576,0.8280606361037623,False,0.39919935712611665
asn_L,Podo,Endo_G,Podo→Endo_G,age,-2.3063664837427185,0.3111506004226289,False,0.39919935712611665
asn_L,Podo,Endo_G,Podo→Endo_G,sex_num,46.485592093330695,0.3550372883797246,False,0.39919935712611665
asn_L,Podo,Endo_G,Podo→Endo_G,is_DKD,-10.496624185420941,0.8932024016635882,False,0.39919935712611665
asn_L,Podo,Endo_G,Podo→Endo_G,is_HKD,-7.243671289235468,0.9182389998224758,False,0.39919935712611665
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,eGFR,-0.09835359663760768,0.4908446129974857,False,0.3761720489704379
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,fibrosis,0.03945512001917167,0.6456381922513973,False,0.3761720489704379
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,age,0.09513244563530537,0.5344745814543437,False,0.3761720489704379
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,sex_num,-0.02036040639573483,0.9951550708901182,False,0.3761720489704379
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,is_DKD,-8.258045814206852,0.15610168993181958,False,0.3761720489704379
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,is_HKD,-9.325717408411581,0.08720494111741349,False,0.3761720489704379
