metabolite,source_cell,sink_cell,exchange_axis,rho,p_value,significant,analysis,mean_Male,mean_Female,log2fc_M_vs_F,mean_hypertension_yes,mean_hypertension_no,log2fc,mean_diabetes_yes,mean_diabetes_no,predictor,beta,r_squared
Rtotal,PC,C_TAL,PC→C_TAL,,0.0036693157677095962,True,regression,,,,,,,,,sex_num,-225.80219691709578,0.7890924465363849
dttp,C_TAL,Fib,C_TAL→Fib,,0.00792168261158807,True,regression,,,,,,,,,fibrosis,0.5807025546703278,0.7716467542268796
dttp,C_TAL,Fib,C_TAL→Fib,,0.009502684262906728,True,regression,,,,,,,,,age,0.9912981273552159,0.7716467542268796
dtmp,Fib,C_TAL,Fib→C_TAL,,0.007921682611588078,True,regression,,,,,,,,,fibrosis,0.02109991132563359,0.7716467542268793
dtmp,Fib,C_TAL,Fib→C_TAL,,0.00950268426290675,True,regression,,,,,,,,,age,0.03601896085395412,0.7716467542268793
dtdp,Fib,C_TAL,Fib→C_TAL,,0.007921682611588078,True,regression,,,,,,,,,fibrosis,1.4796860318937544,0.7716467542268794
dtdp,Fib,C_TAL,Fib→C_TAL,,0.00950268426290675,True,regression,,,,,,,,,age,2.525923092111547,0.7716467542268794
gal,PT_S3,PT_S2,PT_S3→PT_S2,,0.04769398671416492,True,regression,,,,,,,,,sex_num,-28159.874402983376,0.6925775755174761
gal,PT_S3,PT_S2,PT_S3→PT_S2,,0.04997924069868495,True,regression,,,,,,,,,is_HKD,40291.1488443478,0.6925775755174761
prostge2,C_TAL,GS_Stromal,C_TAL→GS_Stromal,,0.007921640801222095,True,regression,,,,,,,,,fibrosis,1.1707222052130217,0.7716471158141733
prostge2,C_TAL,GS_Stromal,C_TAL→GS_Stromal,,0.00950192362870129,True,regression,,,,,,,,,age,1.9985326916734232,0.7716471158141733
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,,0.0002725774549495018,True,regression,,,,,,,,,fibrosis,0.30536038087231737,0.9104174435207948
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,,0.025936841187453836,True,regression,,,,,,,,,age,0.22686670031943745,0.9104174435207948
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,,0.01685529408234851,True,regression,,,,,,,,,sex_num,5.584620040257868,0.9104174435207948
asplysglu,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,,0.007921682611588095,True,regression,,,,,,,,,fibrosis,0.00905105889356225,0.7716467542268792
asplysglu,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,,0.009502684262906758,True,regression,,,,,,,,,age,0.015450763320412321,0.7716467542268792
cholp,Mono,C_TAL,Mono→C_TAL,,0.007921682611588083,True,regression,,,,,,,,,fibrosis,0.033873737178493304,0.7716467542268792
cholp,Mono,C_TAL,Mono→C_TAL,,0.009502684262906758,True,regression,,,,,,,,,age,0.05782473653939128,0.7716467542268792
tyrala,C_TAL,CD4T,C_TAL→CD4T,,0.007921682611588083,True,regression,,,,,,,,,fibrosis,0.3761486608766067,0.7716467542268792
