metabolite,source_cell,sink_cell,exchange_axis,rho,p_value,significant
dgmp,C_TAL,GS_Stromal,C_TAL→GS_Stromal,-0.15469849363075236,0.5974580075722481,False
ppi,C_TAL,GS_Stromal,C_TAL→GS_Stromal,-0.15469849363075236,0.5974580075722481,False
serglyglu,Mono,Plasma_Cells,Mono→Plasma_Cells,0.15453348185725116,0.5978537988166246,False
5mthf,MyoFib,Fib,MyoFib→Fib,-0.15225004639852324,0.6033413414207044,False
dhnpt,CD4T,Plasma_Cells,CD4T→Plasma_Cells,-0.15103836275302157,0.6062612152255064,False
ahdt,Plasma_Cells,CD4T,Plasma_Cells→CD4T,-0.15103836275302157,0.6062612152255064,False
sphs1p,C_TAL,PT_S3,C_TAL→PT_S3,-0.15027853666987373,0.6080950127740916,False
gal,PT_S3,PT_S2,PT_S3→PT_S2,-0.14585857970899507,0.6188045497278669,False
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,-0.14491376746189438,0.6211030676915709,False
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,0.14452988925785865,0.6220378779364968,False
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,0.14452988925785865,0.6220378779364968,False
ocdca,Mono,Mac,Mono→Mac,-0.1414547852310957,0.6295453157898352,False
ins,VSMC/Pericyte,C_TAL,VSMC/Pericyte→C_TAL,0.14143862274811644,0.6295848629989966,False
man,Fib,Podo,Fib→Podo,0.1383665391100722,0.6371184489592077,False
hisglugln,GS_Stromal,Fib,GS_Stromal→Fib,0.1383665391100722,0.6371184489592077,False
hisglu,C_TAL,Fib,C_TAL→Fib,0.1383665391100722,0.6371184489592077,False
cmp,MyoFib,Fib,MyoFib→Fib,-0.13762494603048556,0.6389419629195429,False
acac,Podo,Endo_G,Podo→Endo_G,-0.13259870882635919,0.6513506353785152,False
o2s,CNT,IC,CNT→IC,-0.1291543691240439,0.6599028916459313,False
succ,iPT,C_TAL,iPT→C_TAL,0.11933883794372326,0.6844844076089915,False
h2s,MyoFib,C_TAL,MyoFib→C_TAL,0.1178511301977579,0.6882363180220004,False
creat,iPT,PT_S3,iPT→PT_S3,-0.11764713128412477,0.6887513133578772,False
akg,PT_S1,PT_S3,PT_S1→PT_S3,-0.11491888098284461,0.6956507537122141,False
4hpro_LT,Endo_G,Fib,Endo_G→Fib,0.10878565864408425,0.7112404361897815,False
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,0.10607896706108734,0.718154328077731,False
thf,C_TAL,MyoFib,C_TAL→MyoFib,-0.10401493891369991,0.7234401568054473,False
dopa,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,-0.10279490021694526,0.726570002767527,False
dag_hs,C_TAL,PT_S3,C_TAL→PT_S3,0.1016590101002087,0.7294875461394512,False
pro_L,Fib,MyoFib,Fib→MyoFib,0.08933047694941286,0.761365169060673,False
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,-0.08826953388194213,0.7641257104984696,False
orn,iPT,C_TAL,iPT→C_TAL,-0.0873190534665906,0.7666010461225534,False
glu_L,Endo_G,Podo,Endo_G→Podo,-0.08176920377625481,0.7810951847191935,False
lac_D,PT_S1,PT_S3,PT_S1→PT_S3,-0.08044818277847889,0.7845551377332365,False
4abut,iPT,PT_S1,iPT→PT_S1,0.07734924681537618,0.7926861483925591,False
fol,PT_S2,Podo,PT_S2→Podo,0.07612502319926162,0.7959037262125681,False
cytd,Fib,Plasma_Cells,Fib→Plasma_Cells,0.0748615034188623,0.7992277483682012,False
6thf,Fib,PT_S1,Fib→PT_S1,0.07458698539828915,0.7999503605179938,False
dad_2,CD4T,Plasma_Cells,CD4T→Plasma_Cells,-0.07380249664231081,0.8020161840108258,False
gthox,C_TAL,GS_Stromal,C_TAL→GS_Stromal,-0.0685093328936189,0.8159856968536428,False
asn_L,Podo,Endo_G,Podo→Endo_G,-0.06747853667933049,0.8187121844284403,False
prostgf2,GS_Stromal,C_TAL,GS_Stromal→C_TAL,0.065546138683345,0.8238285494846622,False
ump,Endo_G,Fib,Endo_G→Fib,0.0643729586271626,0.8269379399054012,False
ctp,PT_S3,C_TAL,PT_S3→C_TAL,-0.05771368704504233,0.8446311053838205,False
dgsn,Fib,Plasma_Cells,Fib→Plasma_Cells,-0.055351872481733094,0.850923081085362,False
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,-0.055249462010982985,0.8511960962286454,False
amp,PT_S3,C_TAL,PT_S3→C_TAL,-0.05303948353054367,0.8570913860226402,False
fru,Fib,CD4T,Fib→CD4T,-0.05199165940866446,0.859888978951549,False
cyala,Endo_G,Podo,Endo_G→Podo,-0.05082950505010435,0.8629936096040479,False
met_L,C_TAL,PT_S3,C_TAL→PT_S3,0.05017191171131408,0.8647511510330486,False
ade,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,-0.048619526569665034,0.8689024841856509,False
mal_L,C_TAL,PT_S2,C_TAL→PT_S2,0.041341427261162765,0.888405596869108,False
gluala,PT_S3,IC,PT_S3→IC,0.04022409138923944,0.8914051883781051,False
ascb_L,C_TAL,PC,C_TAL→PC,-0.03761098765733174,0.8984255154538464,False
dhdascb,PC,C_TAL,PC→C_TAL,-0.03761098765733174,0.8984255154538464,False
gua,Endo_G,Podo,Endo_G→Podo,-0.03756963416746843,0.8985366719647511,False
5thf,C_TAL,iPT,C_TAL→iPT,0.03329635791060135,0.9100320424676158,False
malt,PT_S1,CNT,PT_S1→CNT,0.03304003941964585,0.9107220963114697,False
gsn,PT_S1,CNT,PT_S1→CNT,0.026519741765271835,0.9282943084975372,False
cdp,C_TAL,iPT,C_TAL→iPT,0.022197571940400895,0.9399597966522097,False
Rtotal,PC,C_TAL,PC→C_TAL,-0.015469849363075237,0.9581393327681296,False
2hb,M_TAL,C_TAL,M_TAL→C_TAL,0.015469849363075237,0.9581393327681296,False
lpchol_hs,PT_S1,PT_S3,PT_S1→PT_S3,-0.009688639316269662,0.9737766534114375,False
lcts6p,PC,C_TAL,PC→C_TAL,0.004419956960878639,0.9880354279536534,False
s2l2n2m2masn,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,0.0,1.0,False
val_L,Mono,GS_Stromal,Mono→GS_Stromal,0.0,1.0,False
34hpp,Mono,Fib,Mono→Fib,0.0,1.0,False
duri,VSMC/Pericyte,Dedifferentiated_Tubule,VSMC/Pericyte→Dedifferentiated_Tubule,0.0,1.0,False
3mob,Mono,Mac,Mono→Mac,0.0,1.0,False
