exchange_axis,source,sink,n_metabolites,n_significant,pct_significant,combined_p,mean_cohens_d,mean_evidence,direction,direction_label,metabolites,metabolite_detail,combined_q
Endo_G→Fib,Endo_G,Fib,2,0,0.0,0.486056,-0.214,0.341,DOWN,↑ HKD,4hpro_LT; ump,"4hpro_LT(d=+0.34,rDKD=17%,rHKD=20%); ump(d=-0.77,rDKD=67%,rHKD=100%)",0.6974
Endo_G→Podo,Endo_G,Podo,5,1,20.0,0.512335,0.25,0.295,UP,↑ DKD,cit; cyala; glu_L; gua; hco3,"hco3(d=+1.64,rDKD=100%,rHKD=100%); cit(d=+0.48,rDKD=100%,rHKD=100%); gua(d=-0.23,rDKD=83%,rHKD=100%); cyala(d=-0.28,rDKD=100%,rHKD=100%); glu_L(d=-0.36,rDKD=100%,rHKD=100%)",0.7193
M_TAL→C_TAL,M_TAL,C_TAL,1,0,0.0,0.533,0.722,0.276,UP,↑ DKD,2hb,"2hb(d=+0.72,rDKD=100%,rHKD=100%)",0.7193
Plasma_Cells→CD4T,Plasma_Cells,CD4T,1,0,0.0,0.545,-0.686,0.488,DOWN,↑ HKD,ahdt,"ahdt(d=-0.69,rDKD=33%,rHKD=80%)",0.7193
PEC→Mes,PEC,Mes,1,0,0.0,0.5518,-0.429,0.198,DOWN,↑ HKD,glc_D,"glc_D(d=-0.43,rDKD=100%,rHKD=100%)",0.7193
PT_S3→VSMC/Pericyte,PT_S3,VSMC/Pericyte,1,0,0.0,0.5558,-0.477,0.344,DOWN,↑ HKD,bhb,"bhb(d=-0.48,rDKD=67%,rHKD=100%)",0.7193
PT_S3→C_TAL,PT_S3,C_TAL,5,0,0.0,0.600672,0.033,0.294,UP,↑ DKD,ac; amp; ctp; pi; retn,"retn(d=+0.71,rDKD=17%,rHKD=0%); pi(d=+0.42,rDKD=100%,rHKD=100%); ac(d=+0.27,rDKD=100%,rHKD=100%); amp(d=-0.29,rDKD=83%,rHKD=100%); ctp(d=-0.94,rDKD=67%,rHKD=100%)",0.7612
C_TAL→iPT,C_TAL,iPT,5,0,0.0,0.611264,-0.458,0.37,DOWN,↑ HKD,5thf; cdp; chol; ptrc; ser_D,"chol(d=+0.25,rDKD=67%,rHKD=100%); ser_D(d=-0.21,rDKD=33%,rHKD=40%); ptrc(d=-0.41,rDKD=0%,rHKD=20%); 5thf(d=-0.93,rDKD=67%,rHKD=100%); cdp(d=-0.99,rDKD=67%,rHKD=100%)",0.7612
Plasma_Cells→Fib,Plasma_Cells,Fib,1,0,0.0,0.6366,0.211,0.121,UP,↑ DKD,aspglu,"aspglu(d=+0.21,rDKD=100%,rHKD=100%)",0.7781
Fib→MyoFib,Fib,MyoFib,2,0,0.0,0.654404,-0.32,0.42,DOWN,↑ HKD,10fthf6glu; pro_L,"pro_L(d=+0.51,rDKD=67%,rHKD=40%); 10fthf6glu(d=-1.15,rDKD=67%,rHKD=100%)",0.7853
VSMC/Pericyte→C_TAL,VSMC/Pericyte,C_TAL,1,0,0.0,0.7358,-0.108,0.099,DOWN,↑ HKD,ins,"ins(d=-0.11,rDKD=83%,rHKD=100%)",0.8586
PT_S1→PT_S2,PT_S1,PT_S2,4,0,0.0,0.741516,-0.115,0.227,DOWN,↑ HKD,ala_L; gluglu; pyr; ser_L,"ser_L(d=+0.56,rDKD=100%,rHKD=100%); gluglu(d=+0.24,rDKD=100%,rHKD=100%); ala_L(d=-0.60,rDKD=100%,rHKD=100%); pyr(d=-0.66,rDKD=100%,rHKD=100%)",0.8586
Fib→CD4T,Fib,CD4T,1,0,0.0,0.7566,0.33,0.125,UP,↑ DKD,mag_hs,"mag_hs(d=+0.33,rDKD=100%,rHKD=100%)",0.861
C_TAL→PT_S2,C_TAL,PT_S2,1,0,0.0,0.782,1.155,0.72,UP,↑ DKD,mal_L,"mal_L(d=+1.16,rDKD=100%,rHKD=40%)",0.867
PT_S3→IC,PT_S3,IC,1,0,0.0,0.7882,-1.388,0.643,DOWN,↑ HKD,gluala,"gluala(d=-1.39,rDKD=50%,rHKD=100%)",0.867
CNT→IC,CNT,IC,1,0,0.0,0.9676,-0.917,0.479,DOWN,↑ HKD,o2s,"o2s(d=-0.92,rDKD=0%,rHKD=40%)",1.0
PEC→IC,PEC,IC,1,0,0.0,0.97,0.076,0.024,UP,↑ DKD,glucyala,"glucyala(d=+0.08,rDKD=100%,rHKD=100%)",1.0
iPT→PT_S1,iPT,PT_S1,2,0,0.0,0.982809,-0.008,0.036,DOWN,↑ HKD,4abut; nh4,"nh4(d=+0.08,rDKD=100%,rHKD=100%); 4abut(d=-0.09,rDKD=100%,rHKD=100%)",1.0
iPT→C_TAL,iPT,C_TAL,3,0,0.0,0.997651,-0.483,0.213,DOWN,↑ HKD,ala_D; orn; succ,"succ(d=-0.29,rDKD=100%,rHKD=100%); orn(d=-0.40,rDKD=33%,rHKD=60%); ala_D(d=-0.76,rDKD=67%,rHKD=100%)",1.0
C_TAL→GS_Stromal,C_TAL,GS_Stromal,5,0,0.0,0.99891,-0.044,0.162,DOWN,↑ HKD,dgmp; gthox; hdca; ppi; prostge2,"hdca(d=+0.34,rDKD=100%,rHKD=100%); gthox(d=+0.34,rDKD=100%,rHKD=100%); prostge2(d=+0.30,rDKD=17%,rHKD=40%); ppi(d=-0.60,rDKD=83%,rHKD=100%); dgmp(d=-0.61,rDKD=83%,rHKD=100%)",1.0
Mono→CD4T,Mono,CD4T,1,0,0.0,1.0,-1.116,0.539,DOWN,↑ HKD,ttdca,"ttdca(d=-1.12,rDKD=50%,rHKD=100%)",1.0
